STATION,NAME,DESCRIPTION,LATITUDE,LONGITUDE,STATUS,FIRST_YEAR,LAST_YEAR,TOTAL_YEARS,MISS_YEARS
04002701502,Sydenham River,"Hickory Dr,  Ne Of Strathroy,",42.97589126,-81.59343411,A,2002,2021,20,0
04002701602,Sydenham River,"Lambton Ln,  Florence,",42.65068239,-82.00877086,A,2002,2021,20,0
04002701702,Sydenham River,"Hwy 40,  Mcnaughton Ave.,  Wallaceburg,",42.59179026,-82.38763173,A,2002,2021,20,0
04002702202,Sydenham River,"Courtright Ln,  Lambton Rd 80, ,S Of Alvinston",42.80632046,-81.8470147,I,2012,2012,1,0
05000300102,Frenchman Creek,"Niagara Blvd Township Of Bertie,",42.94266701,-78.92731186,I,1964,1971,8,0
05000400102,Miller Creek,"At Niagara Blvd Township Of Willoughby,",42.95531251,-78.97533123,I,1964,1971,8,0
05000500102,Baker Creek,"At Niagara Blvd Township Of Willoughby,",42.97268864,-79.00816836,I,1964,1971,8,0
05000600102,Black Creek,"At Niagara Blvd Twp Of Willoughby,",42.98087276,-79.02354311,I,1964,1971,8,0
05000600202,Black Creek,"At Qew Bridge,  2 Miles East Of Snyder,",42.96335064,-79.02196436,A,1972,2021,13,37
05000900102,Usshers Creek,"At Niagara Blvd.Township Of Willoughby,",43.05105076,-79.02264836,I,1964,1971,8,0
06000100102,One Mile Creek,"At Niagara Blvd Niagara On The Lake,",43.26079189,-79.09261223,I,1964,1986,9,14
06000200102,Two Mile Creek,"At Lakeshore Road Niagara Township,",43.25380064,-79.09567448,I,1964,1971,8,0
06000300102,Four Mile Creek,"Lakeshore Rd,  Niagara Reg Rd 87,",43.25323889,-79.12593486,A,1965,2021,26,31
06000300202,Four Mile Creek,"Third Line Road Township Of Niagara,",43.21051476,-79.11941798,I,1965,1971,7,0
06000300302,Four Mile Creek,"At Seventh Line Road Township Of Niagara,",43.18072489,-79.10972911,I,1965,1971,7,0
06000300402,Four Mile Creek,"Downstream From St. Davids,",43.16585101,-79.10183523,I,1965,1971,7,0
06000300502,Four Mile Creek,"First Concession North Of Virgil,",43.23320914,-79.13532761,I,1972,1976,5,0
06000500102,Six Mile Creek,"Lakeshore Road,  Twp Of Niagara,",43.23370764,-79.16334473,I,1964,1976,13,0
06001000102,Eight Mile Creek,"Lakeshore Road,  Twp Of Niagara,",43.22499251,-79.18288911,I,1964,1976,13,0
06001400102,Welland Ship Canal,"Weir Downstream Lakeshore Rd, ,Port Weller",43.21670701,-79.21235823,I,1964,2012,49,0
06001400202,Welland Ship Canal,"First Bridge Downstream From Lake Erie,",42.88637464,-79.24864836,I,1966,1995,23,7
06001700102,Twelve Mile Creek,"Lakeport Road St Catharines,",43.20139039,-79.26580248,A,1964,2021,58,0
06001700202,Twelve Mile Creek,"Wellandvale Ave,  St Catharines,",43.16011901,-79.26031873,I,1970,2012,43,0
06001700302,Old Welland Canal,"At Glenridge Ave St. Catharines,",43.15506901,-79.24196073,I,1970,1980,11,0
06001700402,Twelve Mile Creek,"Glendale Ave,  St Catharines,",43.13345214,-79.25094861,I,1970,2012,43,0
06001700501,Gibson Lake,"At Beaver Dam Road,",43.09987151,-79.22792873,I,1973,1978,6,0
06001700602,Shriners Creek,"At Beachwood Road Niagara Falls,",43.10444314,-79.16262011,I,1974,1975,2,0
06001700702,Twelve Mile Creek,"1St Street Louth Twp. Near Power Glen,",43.11499764,-79.27483361,A,1977,2021,45,0
06001700802,Twelve Mile Creek,"At Decew Road,",43.10963214,-79.26467398,I,1978,1987,10,0
06001700902,Old Welland Canal,"Disher Street St. Catharines,",43.14789951,-79.22257498,I,1981,2012,32,0
06001701002,Twelve Mile Creek,"Roland Rd,  Effingham Tributary,",43.08750789,-79.29199661,A,2003,2021,19,0
06001701102,Twelve Mile Creek,"Roland Rd,  St. Johns Tributary,",43.08730964,-79.29167323,A,2003,2021,19,0
06001900102,Fifteen Mile Creek,"At Fourth Ave Township Of Louth,",43.15386389,-79.31474748,I,1964,1971,8,0
06002000102,Sixteen Miles Creek,"At Fourth Ave Township Of Louth,",43.15364039,-79.33456586,I,1965,1971,7,0
06002400102,Twenty Mile Creek,"21 St St,  Vineland,  Upstrm Jordan,Harbour",43.15201751,-79.37448548,A,1964,2021,46,12
06002400202,Twenty Mile Creek,"First Bridge Downstream Of Smithville,",43.09141476,-79.53671236,I,1970,1995,19,7
06002400302,North Creek,"Shurie Rd.South Smithville (Ag-10),",43.07922789,-79.54110123,I,1974,1977,4,0
06002400402,Twenty Mile Creek,"Highway 20 Downstream Of Smithville,",43.07876689,-79.51261461,I,1975,2016,12,30
06002400502,Twenty Mile Creek,"At County Road 34 Woodburn,",43.13417739,-79.74527673,I,1975,1979,5,0
06002400602,Twenty Mile Creek,"First Conc.Dnstr. Smithville Sewage,Lagoons",43.07949014,-79.52522048,I,1985,1995,8,3
06002400802,Twenty Mile Creek,"At Balls Fall Near Hydat Station,",43.13348326,-79.38363582,A,2012,2021,10,0
06002400902,Twenty Mile Creek,"Twenty Mile Creek,  Niagara Rd 20, ,Upstrm Smithville",43.11560596,-79.56650923,A,2014,2021,8,0
06002600102,Vineland Creek,"Qew West Of Victoria Ave Ag-16,",43.18656376,-79.40056673,I,1974,1974,1,0
06003300102,Thirty Mile Creek,"At Queen Elizabeth Highway,",43.18922676,-79.49737711,I,1964,1971,8,0
06003800102,Forty Mile Creek,"Downstream From Town Of Grimsby,",43.20004851,-79.55697698,A,1964,2021,24,34
06005000102,Stoney Creek,"At Queen Elizabeth Way Stoney Creek,",43.24255976,-79.74318498,I,1964,1976,13,0
06005000202,Stoney Creek,"Queenston Rd.,  Stoney Creek At Gauge,",43.22507314,-79.75125473,A,2007,2021,15,0
06005200101,Burlington Canal,"At Lift Bridge Beach Road,",43.29911639,-79.79535261,I,1966,1971,6,0
06005400102,Rambo Creek,"Highway 2 Burlington,",43.32715951,-79.79042836,I,1964,1977,14,0
06005900102,Sheldon Creek,"Lakeshore Rd,  Burlington,",43.38180289,-79.71732448,A,2007,2021,15,0
06006000102,Bronte Creek,"Highway 2,  Bronte,",43.39203314,-79.71412398,I,1964,1999,35,1
06006000202,Bronte Creek,"Appleby Line Burlington,",43.42501539,-79.83195211,I,1965,2001,35,2
06006000302,Mountsberg Creek,"At County Road 18,",43.44305139,-80.03253373,I,1973,1996,24,0
06006000402,Mountsberg Creek,"Hwy.401,  Upstrm Mountsberg Resevoir,",43.46886051,-80.07300286,A,1975,2021,42,5
06006000502,Bronte Creek,"At Progreston Road,",43.39778551,-79.96071661,I,1978,1995,10,8
06006000602,Indian Creek,"At Tremaine Road South Of Britannia Road,",43.45399539,-79.83793223,I,1979,1996,18,0
06006000702,Bronte Creek,"Petro Canada Park,  N Of Rebecca St,",43.39559389,-79.72279548,A,1999,2021,23,0
06006000802,Indian Creek,"Appleby Ln,  N Of Zimmerman,",43.43465639,-79.84737548,A,1999,2021,23,0
06006000902,Limestone Creek,"At Britannia Road (L1),",43.44583564,-79.87992286,I,1999,2001,3,0
06006001002,Cedar Springs Creek,"At The Cedar Springs Community (C1),",43.41301776,-79.92500973,I,1999,2001,3,0
06006001102,Killbride Creek,"At Cedar Springs Rd,  S Of Killbride K1,",43.41728326,-79.92926948,I,1999,2001,3,0
06006001202,Flamborough Creek,"At Carlisle Rd (Cty 36),  E Of Carlisle,At The Carlisle Golf Course (F1)",43.40687039,-79.96309423,I,1999,2001,3,0
06006001302,Mountsberg Creek,"At County Rd. 8,  N Of Carlisle (M1),",43.40142401,-79.99299086,I,1999,2001,3,0
06006001402,Bronte Creek,"At Highway 6,  S Of Freelton (B3),",43.38011664,-80.01018898,I,1999,2001,3,0
06006001502,Strabane Creek,"At Brock Road,  N Of Strabane,",43.38062889,-80.03315386,I,1999,2001,3,0
06006100102,Fourteen Mile Creek,"Queen Elizabeth Way,",43.42223451,-79.72771098,I,1972,2020,42,8
06006100202,Fourteen Mile Creek,"At Upper Middle Road,",43.42429576,-79.75738673,I,1972,1979,8,0
06006100302,Fourteen Mile Creek,"At Hwy 2/Lakeshore Road,",43.41860814,-79.69007536,A,2003,2021,5,0
06006300102,Oakville Creek,"Lakeshore Rd,  Oakville,",43.44293476,-79.67125023,A,1964,2021,57,1
06006300202,Oakville Creek,"Side Road 10 Milton,",43.50481201,-79.86330961,I,1965,1996,32,0
06006300302,Middle Oakville Creek,"Hwy.25 1.8 Miles South Of Scotch Block,",43.55121489,-79.93637536,I,1973,1996,24,0
06006300402,Middle Oakville Creek,"Hwy.25 0.9Miles South Of Scotch Block,",43.56068401,-79.94910048,I,1973,1975,3,0
06006300502,Middle Oakville Creek,"At Dam Scotch Block Reservoir,",43.56520626,-79.94953548,I,1973,1977,5,0
06006300602,Middle Oakville Creek,"At 3Rd.Conc.Road Twp.Of Esquesing,",43.57605851,-79.94611211,I,1973,1975,3,0
06006300702,Middle Oakville Creek,"At Conc.Rd.No.4 Twp.Of Esquesing,",43.58967564,-79.94111398,I,1973,1979,7,0
06006300802,Oakville Creek,"At County Road 9 Hilton Falls,",43.50780101,-79.95808661,I,1973,1996,24,0
06006300902,Oakville Creek,"At County Road 28 Upstream Of Milton,",43.51390151,-79.93154948,I,1975,1996,22,0
06006301002,Oakville Creek,"Appleby Ln,  Upstrm Kelso Reservoir,",43.50115226,-79.95219636,A,1975,2021,42,5
06006301102,East Oakville Creek,"Lower Baseline Rd,  Sixteen Valley,",43.49908114,-79.77659048,A,1975,2021,41,6
06006301202,West Oakville Creek,"Lower Baseline Road,",43.47417514,-79.79842286,A,2002,2021,20,0
06006301402,Middle Oakville Creek,"Steeles Ave.,  E. Of 5Th Ln,  Milton,",43.55475226,-79.85686198,A,2002,2021,20,0
06006800102,Sheridan Creek,"Rattray Marsh,  Meadow Wood Rd,  Clarkson,",43.51593351,-79.61543248,A,1976,2021,46,0
06007600102,Credit River,"At Highway 2,",43.55076726,-79.58665698,I,1964,1987,10,14
06007600202,Credit River,"Highway 5 Erindale,",43.54317526,-79.65801098,I,1965,1997,33,0
06007600302,Credit River,"Highway 7 Norval,",43.64721276,-79.85627811,A,1965,2021,57,0
06007600402,Silver Creek,"Highway 7 Norval,",43.64635939,-79.86622286,A,1964,2021,58,0
06007600502,Black Creek,"Churchill Rd,  At Acton Stp,",43.62759439,-80.02209311,A,1964,2021,36,22
06007600602,Credit River,"Highway 10 Dnstr.Orangeville, ,1St Crossing",43.90965439,-80.06325348,A,1964,2021,58,0
06007600702,Black Creek,"At Credit River Branch Erin,",43.7672495,-80.06072193,I,1964,1965,2,0
06007600802,Black Creek,"Glen Lawson Rd,  Upstrm Limehouse,",43.62923289,-80.01039811,A,1972,2021,50,0
06007600902,Credit River Erin Branch,"At Dundas Street West Erin,",43.77204389,-80.07335736,I,1973,1975,3,0
06007601002,Credit River,"Heritage Rd And King St,  Terra Cotta,",43.72381351,-79.93099773,A,1973,2021,49,0
06007601202,Silver Creek,"At 8Th Line South Of 27 Side Road,",43.67765539,-79.96372761,I,1975,1979,5,0
06007601302,Credit River,"Main St,  Glen Williams,",43.66862101,-79.92696273,I,1975,2007,33,0
06007601402,Credit River,"At First Line North-West Of 34Th Side Rd,",43.79308814,-79.92885336,I,1975,1997,3,20
06007601502,West Credit River,"Winston Churchill Blvd,  Dwnstrm Erin,",43.78373676,-80.03480098,A,1975,2021,47,0
06007601602,Fletcher'S Creek,"Steeles Ave W, Brampton,",43.65858539,-79.74145536,A,1975,2021,47,0
06007601702,Credit River,"Old Derry Rd,  W. Of Hwy No 10,",43.62214889,-79.73326498,A,1975,2021,47,0
06007601802,Credit River,"Beachgrove Sideroad, E. Of Alton,",43.85620614,-80.04821261,A,1975,2021,47,0
06007601902,Credit River,"Southern Dam Of Orangeville Reservoir,",43.92715364,-80.08416673,I,1976,2007,32,0
06007602002,Credit River,"South Of Hwy.136 Below Orangeville Stp,",43.91558126,-80.08324073,I,1976,1982,7,0
06007602102,Orangeville Creek,"At Highway 136 West Of Orangeville Stp,",43.91713776,-80.08706586,I,1977,1977,1,0
06007602202,Silver Creek,"Mountainview Rd,  Georgetown,",43.63747426,-79.88616561,A,1979,2021,43,0
06007602302,Credit River,"Highpoint Sideroad,  Dwnstr,Dam At Melville",43.88846164,-80.06330648,A,1979,2021,43,0
06007602402,Credit River,"Hwy 10,  Dwnstr Orangeville, ,2Nd Crossing",43.90183089,-80.05252636,I,1982,2007,26,0
06007602502,West Credit River,"Lot 25 Con 9 Erin Township,",43.81453551,-80.14275073,I,1995,1995,1,0
06007602602,West Credit River,"Lot 25 Con 8 Erin Township,",43.79105996,-80.13901383,I,1984,1999,3,13
06007602702,West Credit River,"Lot 24 Con 8 Erin Township,",43.78718114,-80.14212373,I,1995,1995,1,0
06007602802,West Credit River,"Upstr. Rd. 22 West Of Hwy 25,Erin Township",43.77923376,-80.13389386,I,1995,1995,1,0
06007602902,West Credit River,"Hwy 25 Lot 21W Dnstr. Pond Erin Township,",43.77100789,-80.12987473,I,1999,1999,1,0
06007603002,West Credit River,"Conc. 8 Upstr. Marsh Erin Township,",43.77158739,-80.09006936,I,1995,1995,1,0
06007603102,West Credit River,"Upstr. Pond Erin Township,",43.76966701,-80.06694736,I,1995,1995,1,0
06007603202,West Credit River,"Hwy 24 Rd. Crossing Upstr.,Village Of Erin Er.",43.76801714,-80.06092861,I,1995,1995,1,0
06007603302,West Credit River,"Brisbane Esa Dnstr. Hwy 24,Junction Village",43.76597439,-80.05744298,I,1995,1995,1,0
06007603402,West Credit River,"Brisbane Esa Conc. 8 At Wy 24,Village Erin Erin",43.74908839,-80.05948098,I,1995,1995,1,0
06007603502,West Credit River,"Rd. 23 At Rd. 22 Alton Hills Wetland,Erin Township",43.79751051,-80.10607211,I,1995,1995,1,0
06007603602,West Credit River,"Lot 20 Conc 8 Near Pond Erin Township,",43.78012039,-80.10544211,I,1995,1995,1,0
06007603702,West Credit River,"Lot 21 Con 10 Dnstr. Wetland Dam,Erin Township",43.80544726,-80.08644261,I,1995,1995,1,0
06007603802,West Credit River,"Binkham Esa Lot 19 Con 10,Erin Township",43.79555014,-80.07834036,I,1995,1995,1,0
06007603902,West Credit River,"Binkham Esta Con 10 At Hwy 24,Erin Township",43.79540301,-80.06712911,I,1995,1995,1,0
06007604002,West Credit River,"Upstr. Dundas St. Erin West Tributary,Erin Township",43.78910551,-80.05583911,I,1995,1995,1,0
06007604102,West Credit River,"Lot 15 Con 11 S. Of Cpr,  Erin Township,",43.78480526,-80.05655111,I,1995,1995,1,0
06007604202,West Credit River,"Lot 13 Con 10 Erin Township,",43.77452689,-80.04591173,I,1995,1995,1,0
06007604302,West Credit River,"Lot 13 Con 11,  Erin Township,",43.79582114,-80.01325361,I,1995,1995,1,0
06007604402,West Credit River,"Dnstr. Belfound Dam Peel Region,",43.79397426,-80.01065661,I,1995,1995,1,0
06007604502,West Credit River,"Upstr. Forks Of Credit Peel Region,",43.79982501,-79.99712661,I,1995,1995,1,0
06007604602,West Credit River,"Lot 18 Con 6 Town Of Caledon,Caledon Township",43.81852739,-80.06290148,I,1995,1995,1,0
06007604702,West Credit River,"Con 11 At Hwy. 24,  Caledon Township,",43.81681676,-80.05799398,I,1995,1995,1,0
06007604902,Credit River,"Mineola Drive,  North Of Lakeshore Blvd.,",43.55390414,-79.59936423,I,2000,2000,1,0
06007605002,Credit River,"Mississauga Golf And Country Course,",43.54919451,-79.63327273,A,2003,2021,17,2
06007605102,Shaw'S Creek,"Mnr Trail,  Alton,",43.85975964,-80.05739011,A,2007,2021,15,0
06007605202,East Credit River,"Upstream Hwy 10,  North Of Inglewood,",43.80982126,-79.92764911,A,2007,2021,15,0
06008000102,Etobicoke Creek,"Highway 2 Long Branch,",43.58893614,-79.54637823,I,1964,1997,33,1
06008000202,Etobicoke Creek West,"Derry Rd,  E. Of Dixie Rd,  Mississauga,",43.67603001,-79.67343811,I,1964,1995,30,2
06008000302,Etobicoke Creek,"Burnhamthorpe Road Mississauga,",43.63786214,-79.58571948,I,1972,1995,22,2
06008000402,Etobicoke Creek,"At Hwy.10 1.2 Miles N-W Of Snelgrove,",43.74456201,-79.83929211,I,1973,1995,21,2
06008000502,Etobicoke Creek,"Marie Curtis Park, ,200M South Of Lakeshore Blvd.",43.58740901,-79.54482023,I,2000,2000,1,0
06008000602,Etobicoke Creek,"Qew,  Etobicoke,",43.60505564,-79.55975311,A,2002,2021,20,0
06008000702,Etobicoke Creek West,"North Of Derry,  East Of Dixie,",43.67833164,-79.67950823,A,2002,2021,20,0
06008200102,Mimico Creek,"Highway 2 Mimico,",43.62198864,-79.48194336,I,1964,1994,29,2
06008200202,Mimico Creek,"Richview Side Road Etobicoke,",43.67286489,-79.56929498,I,1972,1997,18,8
06008200302,Mimico Creek,"The Queensway,  Etobicoke,",43.62847489,-79.49287136,A,1994,2021,22,6
06008300102,Humber River,"Lakeshore Road Toronto,",43.63304564,-79.47329636,I,1964,1996,33,0
06008300202,Humber River West,"Claireville Dam Outlet Claireville,",43.73686614,-79.62831823,I,1966,1997,28,4
06008300302,Humber River,"Highway 7 Woodbridge,",43.78020989,-79.59121348,I,1964,1997,30,4
06008300402,Humber River East,"At Bridge Pine Grove Road,",43.79806764,-79.58105773,I,1965,1997,31,2
06008300502,Humber River,"York Peel County Line Bolton,",43.88640089,-79.71736561,I,1964,1988,25,0
06008300602,Humber River Tributary,"At Teston Side Road Concession 5,",43.86423776,-79.55816261,I,1965,1971,7,0
06008300702,Humber River Tributary,"At Side Road 31 Concession 5,",43.87197376,-79.55543998,I,1966,1971,6,0
06008300802,Humber River,"At Moe Laboratory,",43.71106039,-79.53937411,I,1965,1987,3,20
06008300902,Cold Creek,"King Rd,  Reg Rd 9,  Bolton,",43.88810001,-79.71795598,A,1969,2021,23,30
06008301002,Humber River East,"At First Concession East Of Nobleton,",43.90472414,-79.62788911,I,1969,1993,4,21
06008301102,Humber River East,"1St.Conc.East Of 401 Above Kinghorn,",43.92475101,-79.55451236,I,1969,1971,3,0
06008301202,Black Creek,"At Scarlett Road Toronto,",43.67484451,-79.50532261,I,1974,1997,19,5
06008301302,Humber River,"Concession 5 Adjala Twp Ag-9,",43.97032276,-79.88775423,I,1974,1974,1,0
06008301402,Humber River West,"Co,  Road 14 N-E Of Wildfield Ag-11,",43.82161551,-79.72517136,I,1974,1985,3,9
06008301502,Humber River,"Hwy 427 West Side Tu-1,",43.72766626,-79.60033261,I,1974,1974,1,0
06008301602,Humber River,"Hwy 427 East Side Tu-2,",43.72771001,-79.60020598,I,1974,1974,1,0
06008301702,Salt Creek,"Mcvean Dr,  W. Of Castlemore (Ag-11),",43.78942876,-79.70986098,I,1975,1977,3,0
06008301802,Humber River,"Upstream Of Hwy 50 & Old Church Rd,",43.92614414,-79.80320748,A,1975,2021,41,6
06008301902,Humber River,"Old Mill Rd,  Etobicoke,",43.65143464,-79.49132861,A,1979,2021,43,0
06008302102,Humber River East,"Rutherford Road,",43.81930764,-79.59005623,I,1995,1996,2,0
06008302402,East Humber,"At 150M Upstr. Of Islington & Thistlewwo,",43.79029689,-79.58497136,I,1995,1996,2,0
06008302502,Humber,"At Old Mjr. Mackenzie,  325M E. Of Hwy 27,",43.83017514,-79.62863573,I,1995,1995,1,0
06008302602,Humber,"At Huntington Rd,  300M N. Of Kirby,",43.86302414,-79.66920536,I,1995,1995,1,0
06008302702,Humber,"At Duffy'S Lane,  1.4Km N. Of King Rd,",43.88309776,-79.77167198,I,1995,1995,1,0
06008302802,Trib To Humber,"At Humber Stn Sdrd,  650M S. Of Castleder,",43.88396064,-79.79184623,I,1995,1995,1,0
06008302902,Humber,"At Castlederg Rd. 700M W. Of Duffy'S Lan,",43.89405401,-79.79292036,I,1995,1995,1,0
06008303002,Centreville Creek,"Humber In Albion Hills Cons. Area,",43.92837214,-79.82875873,I,1995,1995,1,0
06008303102,Humber,"At Patterson Rd.,  20M E. Of 6Th Line,",43.93715851,-79.84057123,I,1995,1995,1,0
06008303202,Trib To Humber,"At 6Th Line,  30M S. Of Patterson,",43.93606701,-79.83753523,I,1995,1995,1,0
06008303302,Humber,"At Finnerty Rd.(30Th Srd),  350M W. Ofhwy,",43.96354451,-79.86072736,I,1995,1995,1,0
06008303402,Trib To Humber,"At Duffy'S Lane,  275M S. Of Hwy 9,",43.96477364,-79.87876261,I,1995,1995,1,0
06008303502,Humber River,"At 3Rd Line,  500M N. Of Hwy 9,",43.96276226,-79.91994273,I,1995,1995,1,0
06008303602,Trib To Humber,"At 3Rd Line,  900M N. Of Hwy 9,",43.96653064,-79.92083973,I,1995,1995,1,0
06008303702,Trib To Humber,"At 1St Line,  1Km S. Of Sdrd 5,",43.96937526,-79.95571936,I,1995,1995,1,0
06008303802,Humber,"At Airport Rd. 300M N. Of Hwy 9,",43.94879589,-79.97181161,I,1995,1995,1,0
06008303902,Humber,"At 6Th Line,  300M N. Of Hwy 9,",43.94661389,-79.98572186,I,1995,1995,1,0
06008304002,Humber,"At 5Th Line,  400M N. Of Hwy 9,",43.94329364,-80.00149098,I,1995,1995,1,0
06008304102,Cold Creek West,"At Columbia Way, 500M W. Of Albion-Vaugha,",43.90331239,-79.73257936,I,1995,1995,1,0
06008304202,Trib To Cold Creek West,"At Old Church Rd. 500M E.Of Mount Hope R,",43.94047089,-79.79054898,I,1995,1995,1,0
06008304302,Trib. To Cold Creek West,"At Mount Pleasant Rd. 500M S. Of Castled,",43.92405401,-79.75099748,I,1995,1995,1,0
06008304402,Trib To Cold Creek East,"At 15Th Sdrd.,  350M W. Of Cold Creek Rd.,",43.90855064,-79.71142998,I,1995,1995,1,0
06008304502,Cold Creek,"At Cold Creek Road,",43.90589601,-79.70779186,I,1995,1995,1,0
06008304602,Humber,"At Summerlea Park,  5M Upstr. Of W. Humbe,",43.73295351,-79.54892473,I,1995,1995,1,0
06008304702,West Humber,"At Summerlea Park,",43.72996251,-79.55219823,I,1995,1995,1,0
06008304802,Humber,"Outfall Kleinburg,  Wpcp,",43.83400914,-79.62956411,I,1995,1995,1,0
06008304902,W. Trib To Humber,"In Park 350M N. Of Hwy 7 Woodbridge,",43.78087926,-79.60401723,I,1995,1995,1,0
06008305002,E. Trib To Humber,"In Park 350M N. Of Hwy 7 Woodbridge,",43.78075039,-79.60315811,I,1995,1995,1,0
06008305102,Centreville Creek,"At 3Rd Line,  1.2Km S. Of 20Th Sdrd,",43.88059539,-79.83425211,I,1995,1995,1,0
06008305202,Centreville Creek,"At 20Th Sdrd,  200M E. Of 3Rd Line,",43.88996851,-79.84351686,I,1995,1995,1,0
06008305302,Trib To Centreville Creek,"At 4Th Line,  500M N Of Mill Lane,",43.90822376,-79.84840648,I,1995,1995,1,0
06008305402,Trib To Centreville Creek,"At 2Nd Line,  200M S Of 25Th Sdrd (Patter,",43.89691689,-79.87956098,I,1995,1995,1,0
06008305502,Trib To Centreville Creek,"At The Grange Sdrd,  500M W. Of Mountain,",43.86575026,-79.89274361,I,1995,1995,1,0
06008305602,Trib To Humber,"30Th Sdrd,  400M W. Of 4Th Line,",43.93548576,-79.89157686,I,1995,1995,1,0
06008305702,East Humber,"At Kinghorn,",43.91169089,-79.56409136,I,1995,1995,1,0
06008305802,Humber,"At Woodbridge Ave,  50M W. Of Islington A,",43.78651564,-79.58949973,I,1995,1995,1,0
06008305902,Humber,"At Clarence Rd.,  Woodbridge,",43.79117114,-79.59439523,I,1995,1995,1,0
06008306002,Humber,"At Albion-Vaughan Twnin, 200M S. Of,",43.88639901,-79.71737098,I,1995,1995,1,0
06008306102,Cold Creek,"At King Rd,  20M E. Of Alb-Vghn Twnin,",43.88910214,-79.71338886,I,1995,1995,1,0
06008310002,Humber River,"At Steeles Ave,",43.76247651,-79.57969848,I,1983,1983,1,0
06008310102,Humber River,"At Lawrence Ave,",43.69899051,-79.52076611,I,1983,1983,1,0
06008310202,Humber River,"Humber Marsh, ,0.75 Km Upstream Of The Queensway",43.63735601,-79.47714711,I,2000,2000,1,0
06008310302,Humber River West,"Reg Rd 107,  W. Of Mcvean Drive,Upstream Claireville",43.75823701,-79.67843886,A,2002,2021,20,0
06008310402,Centreville Creek,"E. Of Humber Station Rd,  Albion Hills Ca,At Gauge",43.92418126,-79.83452048,A,2002,2021,20,0
06008500102,Don River,"Lakeshore Road Toronto,",43.65075276,-79.34726573,I,1964,1995,32,0
06008500202,Don River West,"Sheppard Ave Toronto,",43.75729014,-79.42999161,I,1965,1993,27,2
06008500302,Don River East,"Bayview And Steeles Ave Toronto,",43.80312626,-79.39687998,I,1966,1997,29,3
06008500402,Don River West,"Highway 7 West Of Concord,",43.80386489,-79.48313111,I,1966,1997,29,3
06008500502,German Mills Creek,"16Th.Ave.Dnstr.From Richmond Hill Stp,",43.85432614,-79.42789686,I,1964,1988,25,0
06008500602,German Mills Creek,"At Elmwood,",43.87131189,-79.42806148,I,1965,1967,3,0
06008500702,German Mills Creek,"At Richmond Hill,",43.87210464,-79.42866536,I,1965,1966,2,0
06008500802,German Mills Creek,"At Markham Road Richmond Hill,",43.87305426,-79.42922723,I,1966,1966,1,0
06008500902,German Mills Creek,"At Roseview Ave Richmond Hill,",43.87536589,-79.42948373,I,1965,1967,3,0
06008501002,German Mills Creek,"At Observatory Lane Richmond Hill,",43.85916251,-79.43088748,I,1965,1967,3,0
06008501102,German Mills Creek,"At Bayview Ave Upstream From Highway 7,",43.84658714,-79.40822573,I,1965,1967,3,0
06008501202,German Mills Creek,"At Carters Construction,",43.85565126,-79.42852473,I,1966,1967,2,0
06008501302,Don River,"Bayview Exit From Don Valley Parkway,",43.68031214,-79.36559623,I,1972,1991,19,1
06008501402,Don River,"Pottery Rd,  Toronto,",43.68847164,-79.36213573,A,1979,2021,42,1
06008501802,Don River,"Queen Street Bridge,",43.65787626,-79.35429323,I,2000,2000,1,0
06009400102,Highland Creek,"Downstream From Highland Stp,",43.76712551,-79.14515148,I,1964,1971,8,0
06009400202,Highland Creek,"Highland Creek Park West Hill,",43.77987689,-79.16791573,I,1972,1997,25,1
06009700102,Rouge River,"At Railroad Trestle Fergussons Beach,",43.79449351,-79.11816873,I,1964,1971,8,0
06009700202,Rouge River,"Highway 48 Markham,",43.86875926,-79.25865423,I,1966,1990,25,0
06009700302,Rouge River,"Box Grove, Town Of Markham,",43.85845639,-79.23325336,I,1968,1995,28,0
06009700502,Rouge River,"Highway 2,  1Mile West Of Rouge Hill,",43.80650751,-79.13385848,I,1972,1995,24,0
06009700602,Little Rouge Creek,"Steeles Ave E,  W. Of Reesor Rd, ,Se Of Markham",43.84830939,-79.20008461,I,1972,1990,19,0
06009700702,Little Rouge Creek,"Reesor Rd,  N. Of Steeles Ave, ,E. Of Markham",43.85933039,-79.20441686,I,1972,1974,3,0
06009700802,Little Rouge Creek,"Highway 7 Locust Hill,",43.88597364,-79.20286686,I,1972,1977,6,0
06009700902,Little Rouge Creek,"Hwy 48,  N. Of Major Mackenzie Dr,N. Of Markham",43.91988964,-79.27052161,I,1972,1977,6,0
06009701002,Little Rouge Creek,"Meadowvale Rd,  N. Of Old Finch Ave, ,Rouge Park",43.83038164,-79.18047236,I,1973,1976,4,0
06009701102,Rouge River,"Twyn Rivers Dr,  Scarborough,",43.81085851,-79.15978098,A,1973,2021,44,5
06009701202,Rouge River,"At Sewell Road North Of Finch Avenue,",43.82751126,-79.19965148,I,1973,1990,18,0
06009701302,Little Rouge Creek,"Twin Rivers Drive Scarborough,",43.81368114,-79.15676461,I,1973,1997,25,0
06009701402,Rouge River,"At Steeles Ave West Of 9Th Line,",43.84209651,-79.22776611,I,1973,1997,10,15
06009701502,Little Rouge Creek,"14Th Ave,  E. Of Reesor Rd, ,E. Of Markham",43.86861989,-79.19533311,I,1973,1974,2,0
06009701602,Little Rouge Creek,"Reesor Rd, N. Of 16Th Ave,",43.90810764,-79.21636473,I,1973,1974,2,0
