STATION,DATE_YYYYMMDD,TIME_HH:MM,PARM_DESCRIPTION,UNITS,RESULT,PARM
6007605002,2012-05-30,12:40,"NITRATES TOTAL,   UNFIL.REAC",MILLIGRAM PER LITER,2.11,NNOTUR
6007605002,2012-05-30,12:40,"AMMONIUM, TOTAL   UNFIL.REAC",MILLIGRAM PER LITER,0.026,NNHTUR
6007605002,2012-05-30,12:40,"CHLORIDE,         UNFIL.REAC",MILLIGRAM PER LITER,121.0,CLIDUR
6007605002,2012-05-30,12:40,"CALCIUM, UNFILTERED TOTAL",MILLIGRAM PER LITER,66.3,CAUT
6007605002,2012-05-30,12:40,"MAGNESIUM,UNFILTERED TOTAL",MILLIGRAM PER LITER,21.9,MGUT
6007605002,2012-05-30,12:40,"POTASSIUM,UNFILTERED TOTAL",MILLIGRAM PER LITER,4.08,KKUT
6007605002,2012-05-30,12:40,"SODIUM,   UNFILTERED TOTAL",MILLIGRAM PER LITER,83.0,NAUT
6007600602,2012-05-30,7:25,"CALCIUM, UNFILTERED TOTAL",MILLIGRAM PER LITER,73.5,CAUT
6007600602,2012-05-30,7:25,"CHLORIDE,         UNFIL.REAC",MILLIGRAM PER LITER,224.0,CLIDUR
6007600602,2012-05-30,7:25,"AMMONIUM, TOTAL   UNFIL.REAC",MILLIGRAM PER LITER,0.127,NNHTUR
6007600602,2012-05-30,7:25,"NITRATES TOTAL,   UNFIL.REAC",MILLIGRAM PER LITER,1.11,NNOTUR
6007600602,2012-05-30,7:25,"MAGNESIUM,UNFILTERED TOTAL",MILLIGRAM PER LITER,19.7,MGUT
6007600602,2012-05-30,7:25,"POTASSIUM,UNFILTERED TOTAL",MILLIGRAM PER LITER,4.06,KKUT
6007600602,2012-05-30,7:25,"SODIUM,   UNFILTERED TOTAL",MILLIGRAM PER LITER,148.0,NAUT
6007602302,2012-05-30,7:40,"MAGNESIUM,UNFILTERED TOTAL",MILLIGRAM PER LITER,20.8,MGUT
6007602302,2012-05-30,7:40,"POTASSIUM,UNFILTERED TOTAL",MILLIGRAM PER LITER,4.47,KKUT
6007602302,2012-05-30,7:40,"SODIUM,   UNFILTERED TOTAL",MILLIGRAM PER LITER,145.0,NAUT
6007602302,2012-05-30,7:40,"CALCIUM, UNFILTERED TOTAL",MILLIGRAM PER LITER,80.6,CAUT
6007602302,2012-05-30,7:40,"NITRATES TOTAL,   UNFIL.REAC",MILLIGRAM PER LITER,1.12,NNOTUR
6007602302,2012-05-30,7:40,"AMMONIUM, TOTAL   UNFIL.REAC",MILLIGRAM PER LITER,0.144,NNHTUR
6007602302,2012-05-30,7:40,"CHLORIDE,         UNFIL.REAC",MILLIGRAM PER LITER,222.0,CLIDUR
6007601802,2012-05-30,8:20,"MAGNESIUM,UNFILTERED TOTAL",MILLIGRAM PER LITER,20.1,MGUT
6007601802,2012-05-30,8:20,"CALCIUM, UNFILTERED TOTAL",MILLIGRAM PER LITER,72.2,CAUT
6007601802,2012-05-30,8:20,"POTASSIUM,UNFILTERED TOTAL",MILLIGRAM PER LITER,2.8,KKUT
6007601802,2012-05-30,8:20,"SODIUM,   UNFILTERED TOTAL",MILLIGRAM PER LITER,77.9,NAUT
6007601802,2012-05-30,8:20,"NITRATES TOTAL,   UNFIL.REAC",MILLIGRAM PER LITER,1.03,NNOTUR
6007601802,2012-05-30,8:20,"AMMONIUM, TOTAL   UNFIL.REAC",MILLIGRAM PER LITER,0.036,NNHTUR
6007601802,2012-05-30,8:20,"CHLORIDE,         UNFIL.REAC",MILLIGRAM PER LITER,116.0,CLIDUR
6007601002,2012-05-30,9:00,"SODIUM,   UNFILTERED TOTAL",MILLIGRAM PER LITER,43.4,NAUT
6007601002,2012-05-30,9:00,"POTASSIUM,UNFILTERED TOTAL",MILLIGRAM PER LITER,1.93,KKUT
6007601002,2012-05-30,9:00,"MAGNESIUM,UNFILTERED TOTAL",MILLIGRAM PER LITER,19.3,MGUT
6007601002,2012-05-30,9:00,"CHLORIDE,         UNFIL.REAC",MILLIGRAM PER LITER,72.2,CLIDUR
6007601002,2012-05-30,9:00,"AMMONIUM, TOTAL   UNFIL.REAC",MILLIGRAM PER LITER,0.014,NNHTUR
6007601002,2012-05-30,9:00,"NITRATES TOTAL,   UNFIL.REAC",MILLIGRAM PER LITER,0.829,NNOTUR
6007601002,2012-05-30,9:00,"CALCIUM, UNFILTERED TOTAL",MILLIGRAM PER LITER,68.2,CAUT
6007600302,2012-06-27,10:55,"SODIUM,   UNFILTERED TOTAL",MILLIGRAM PER LITER,62.3,NAUT
6007600302,2012-06-27,10:55,"POTASSIUM,UNFILTERED TOTAL",MILLIGRAM PER LITER,3.12,KKUT
6007600302,2012-06-27,10:55,"MAGNESIUM,UNFILTERED TOTAL",MILLIGRAM PER LITER,19.9,MGUT
6007600302,2012-06-27,10:55,"NITRATES TOTAL,   UNFIL.REAC",MILLIGRAM PER LITER,2.21,NNOTUR
6007600302,2012-06-27,10:55,"AMMONIUM, TOTAL   UNFIL.REAC",MILLIGRAM PER LITER,0.015,NNHTUR
6007600302,2012-06-27,10:55,"CHLORIDE,         UNFIL.REAC",MILLIGRAM PER LITER,97.4,CLIDUR
6007600302,2012-06-27,10:55,"CALCIUM, UNFILTERED TOTAL",MILLIGRAM PER LITER,72.7,CAUT
6007601702,2012-06-27,11:50,"CHLORIDE,         UNFIL.REAC",MILLIGRAM PER LITER,94.0,CLIDUR
6007601702,2012-06-27,11:50,"AMMONIUM, TOTAL   UNFIL.REAC",MILLIGRAM PER LITER,0.018,NNHTUR
6007601702,2012-06-27,11:50,"NITRATES TOTAL,   UNFIL.REAC",MILLIGRAM PER LITER,1.75,NNOTUR
6007601702,2012-06-27,11:50,"MAGNESIUM,UNFILTERED TOTAL",MILLIGRAM PER LITER,19.2,MGUT
6007601702,2012-06-27,11:50,"CALCIUM, UNFILTERED TOTAL",MILLIGRAM PER LITER,67.8,CAUT
6007601702,2012-06-27,11:50,"SODIUM,   UNFILTERED TOTAL",MILLIGRAM PER LITER,62.7,NAUT
6007601702,2012-06-27,11:50,"POTASSIUM,UNFILTERED TOTAL",MILLIGRAM PER LITER,3.27,KKUT
6007605002,2012-06-27,12:50,"MAGNESIUM,UNFILTERED TOTAL",MILLIGRAM PER LITER,20.8,MGUT
6007605002,2012-06-27,12:50,"POTASSIUM,UNFILTERED TOTAL",MILLIGRAM PER LITER,4.05,KKUT
6007605002,2012-06-27,12:50,"SODIUM,   UNFILTERED TOTAL",MILLIGRAM PER LITER,79.4,NAUT
6007605002,2012-06-27,12:50,"CHLORIDE,         UNFIL.REAC",MILLIGRAM PER LITER,122.0,CLIDUR
6007605002,2012-06-27,12:50,"AMMONIUM, TOTAL   UNFIL.REAC",MILLIGRAM PER LITER,0.019,NNHTUR
6007605002,2012-06-27,12:50,"NITRATES TOTAL,   UNFIL.REAC",MILLIGRAM PER LITER,1.93,NNOTUR
6007605002,2012-06-27,12:50,"CALCIUM, UNFILTERED TOTAL",MILLIGRAM PER LITER,64.3,CAUT
6007600602,2012-06-27,7:25,"NITRATES TOTAL,   UNFIL.REAC",MILLIGRAM PER LITER,1.68,NNOTUR
6007600602,2012-06-27,7:25,"AMMONIUM, TOTAL   UNFIL.REAC",MILLIGRAM PER LITER,0.075,NNHTUR
6007600602,2012-06-27,7:25,"CHLORIDE,         UNFIL.REAC",MILLIGRAM PER LITER,288.0,CLIDUR
6007600602,2012-06-27,7:25,"SODIUM,   UNFILTERED TOTAL",MILLIGRAM PER LITER,180.0,NAUT
6007600602,2012-06-27,7:25,"POTASSIUM,UNFILTERED TOTAL",MILLIGRAM PER LITER,6.27,KKUT
6007600602,2012-06-27,7:25,"CALCIUM, UNFILTERED TOTAL",MILLIGRAM PER LITER,84.0,CAUT
6007600602,2012-06-27,7:25,"MAGNESIUM,UNFILTERED TOTAL",MILLIGRAM PER LITER,21.5,MGUT
6007602302,2012-06-27,7:45,"SODIUM,   UNFILTERED TOTAL",MILLIGRAM PER LITER,131.0,NAUT
6007602302,2012-06-27,7:45,"POTASSIUM,UNFILTERED TOTAL",MILLIGRAM PER LITER,4.75,KKUT
6007602302,2012-06-27,7:45,"NITRATES TOTAL,   UNFIL.REAC",MILLIGRAM PER LITER,0.75,NNOTUR
6007602302,2012-06-27,7:45,"AMMONIUM, TOTAL   UNFIL.REAC",MILLIGRAM PER LITER,0.091,NNHTUR
6007602302,2012-06-27,7:45,"CHLORIDE,         UNFIL.REAC",MILLIGRAM PER LITER,224.0,CLIDUR
6007602302,2012-06-27,7:45,"CALCIUM, UNFILTERED TOTAL",MILLIGRAM PER LITER,80.7,CAUT
6007602302,2012-06-27,7:45,"MAGNESIUM,UNFILTERED TOTAL",MILLIGRAM PER LITER,20.3,MGUT
6007601802,2012-06-27,8:15,"CALCIUM, UNFILTERED TOTAL",MILLIGRAM PER LITER,68.3,CAUT
6007601802,2012-06-27,8:15,"MAGNESIUM,UNFILTERED TOTAL",MILLIGRAM PER LITER,18.5,MGUT
6007601802,2012-06-27,8:15,"POTASSIUM,UNFILTERED TOTAL",MILLIGRAM PER LITER,2.31,KKUT
6007601802,2012-06-27,8:15,"SODIUM,   UNFILTERED TOTAL",MILLIGRAM PER LITER,61.5,NAUT
6007601802,2012-06-27,8:15,"CHLORIDE,         UNFIL.REAC",MILLIGRAM PER LITER,99.4,CLIDUR
6007601802,2012-06-27,8:15,"AMMONIUM, TOTAL   UNFIL.REAC",MILLIGRAM PER LITER,0.011,NNHTUR
6007601802,2012-06-27,8:15,"NITRATES TOTAL,   UNFIL.REAC",MILLIGRAM PER LITER,0.726,NNOTUR
6007601002,2012-06-27,9:00,"NITRATES TOTAL,   UNFIL.REAC",MILLIGRAM PER LITER,0.488,NNOTUR
6007601002,2012-06-27,9:00,"AMMONIUM, TOTAL   UNFIL.REAC",MILLIGRAM PER LITER,0.012,NNHTUR
6007601002,2012-06-27,9:00,"CHLORIDE,         UNFIL.REAC",MILLIGRAM PER LITER,69.7,CLIDUR
6007601002,2012-06-27,9:00,"MAGNESIUM,UNFILTERED TOTAL",MILLIGRAM PER LITER,18.8,MGUT
6007601002,2012-06-27,9:00,"POTASSIUM,UNFILTERED TOTAL",MILLIGRAM PER LITER,1.97,KKUT
6007601002,2012-06-27,9:00,"SODIUM,   UNFILTERED TOTAL",MILLIGRAM PER LITER,38.9,NAUT
6007601002,2012-06-27,9:00,"CALCIUM, UNFILTERED TOTAL",MILLIGRAM PER LITER,68.2,CAUT
6007600302,2012-07-25,10:45,"CALCIUM, UNFILTERED TOTAL",MILLIGRAM PER LITER,65.8,CAUT
6007600302,2012-07-25,10:45,"NITRATES TOTAL,   UNFIL.REAC",MILLIGRAM PER LITER,1.96,NNOTUR
6007600302,2012-07-25,10:45,"SODIUM,   UNFILTERED TOTAL",MILLIGRAM PER LITER,61.7,NAUT
6007600302,2012-07-25,10:45,"POTASSIUM,UNFILTERED TOTAL",MILLIGRAM PER LITER,2.84,KKUT
6007600302,2012-07-25,10:45,"MAGNESIUM,UNFILTERED TOTAL",MILLIGRAM PER LITER,23.0,MGUT
6007600302,2012-07-25,10:45,"AMMONIUM, TOTAL   UNFIL.REAC",MILLIGRAM PER LITER,0.028,NNHTUR
6007600302,2012-07-25,10:45,"CHLORIDE,         UNFIL.REAC",MILLIGRAM PER LITER,97.0,CLIDUR
6007601702,2012-07-25,11:30,"SODIUM,   UNFILTERED TOTAL",MILLIGRAM PER LITER,56.2,NAUT
6007601702,2012-07-25,11:30,"CALCIUM, UNFILTERED TOTAL",MILLIGRAM PER LITER,57.8,CAUT
6007601702,2012-07-25,11:30,"MAGNESIUM,UNFILTERED TOTAL",MILLIGRAM PER LITER,21.9,MGUT
6007601702,2012-07-25,11:30,"POTASSIUM,UNFILTERED TOTAL",MILLIGRAM PER LITER,2.79,KKUT
6007601702,2012-07-25,11:30,"AMMONIUM, TOTAL   UNFIL.REAC",MILLIGRAM PER LITER,0.029,NNHTUR
6007601702,2012-07-25,11:30,"NITRATES TOTAL,   UNFIL.REAC",MILLIGRAM PER LITER,1.62,NNOTUR
6007601702,2012-07-25,11:30,"CHLORIDE,         UNFIL.REAC",MILLIGRAM PER LITER,92.7,CLIDUR
6007605002,2012-07-25,12:25,"CHLORIDE,         UNFIL.REAC",MILLIGRAM PER LITER,111.0,CLIDUR
6007605002,2012-07-25,12:25,"AMMONIUM, TOTAL   UNFIL.REAC",MILLIGRAM PER LITER,0.025,NNHTUR
6007605002,2012-07-25,12:25,"NITRATES TOTAL,   UNFIL.REAC",MILLIGRAM PER LITER,1.65,NNOTUR
6007605002,2012-07-25,12:25,"CALCIUM, UNFILTERED TOTAL",MILLIGRAM PER LITER,53.1,CAUT
6007605002,2012-07-25,12:25,"MAGNESIUM,UNFILTERED TOTAL",MILLIGRAM PER LITER,22.2,MGUT
6007605002,2012-07-25,12:25,"POTASSIUM,UNFILTERED TOTAL",MILLIGRAM PER LITER,3.83,KKUT
6007605002,2012-07-25,12:25,"SODIUM,   UNFILTERED TOTAL",MILLIGRAM PER LITER,72.9,NAUT
6007600602,2012-07-25,7:35,"SODIUM,   UNFILTERED TOTAL",MILLIGRAM PER LITER,128.0,NAUT
6007600602,2012-07-25,7:35,"POTASSIUM,UNFILTERED TOTAL",MILLIGRAM PER LITER,3.58,KKUT
6007600602,2012-07-25,7:35,"CHLORIDE,         UNFIL.REAC",MILLIGRAM PER LITER,203.0,CLIDUR
6007600602,2012-07-25,7:35,"AMMONIUM, TOTAL   UNFIL.REAC",MILLIGRAM PER LITER,0.132,NNHTUR
6007600602,2012-07-25,7:35,"NITRATES TOTAL,   UNFIL.REAC",MILLIGRAM PER LITER,0.549,NNOTUR
6007600602,2012-07-25,7:35,"MAGNESIUM,UNFILTERED TOTAL",MILLIGRAM PER LITER,20.6,MGUT
6007600602,2012-07-25,7:35,"CALCIUM, UNFILTERED TOTAL",MILLIGRAM PER LITER,47.8,CAUT
6007602302,2012-07-25,7:50,"CHLORIDE,         UNFIL.REAC",MILLIGRAM PER LITER,207.0,CLIDUR
6007602302,2012-07-25,7:50,"AMMONIUM, TOTAL   UNFIL.REAC",MILLIGRAM PER LITER,0.148,NNHTUR
6007602302,2012-07-25,7:50,"NITRATES TOTAL,   UNFIL.REAC",MILLIGRAM PER LITER,0.626,NNOTUR
6007602302,2012-07-25,7:50,"CALCIUM, UNFILTERED TOTAL",MILLIGRAM PER LITER,58.6,CAUT
6007602302,2012-07-25,7:50,"POTASSIUM,UNFILTERED TOTAL",MILLIGRAM PER LITER,4.04,KKUT
6007602302,2012-07-25,7:50,"SODIUM,   UNFILTERED TOTAL",MILLIGRAM PER LITER,133.0,NAUT
6007602302,2012-07-25,7:50,"MAGNESIUM,UNFILTERED TOTAL",MILLIGRAM PER LITER,21.9,MGUT
6007601802,2012-07-25,8:20,"POTASSIUM,UNFILTERED TOTAL",MILLIGRAM PER LITER,2.48,KKUT
6007601802,2012-07-25,8:20,"SODIUM,   UNFILTERED TOTAL",MILLIGRAM PER LITER,70.3,NAUT
6007601802,2012-07-25,8:20,"CHLORIDE,         UNFIL.REAC",MILLIGRAM PER LITER,112.0,CLIDUR
6007601802,2012-07-25,8:20,"AMMONIUM, TOTAL   UNFIL.REAC",MILLIGRAM PER LITER,0.043,NNHTUR
6007601802,2012-07-25,8:20,"NITRATES TOTAL,   UNFIL.REAC",MILLIGRAM PER LITER,0.679,NNOTUR
6007601802,2012-07-25,8:20,"CALCIUM, UNFILTERED TOTAL",MILLIGRAM PER LITER,58.5,CAUT
6007601802,2012-07-25,8:20,"MAGNESIUM,UNFILTERED TOTAL",MILLIGRAM PER LITER,21.5,MGUT
6007601002,2012-07-25,9:00,"CHLORIDE,         UNFIL.REAC",MILLIGRAM PER LITER,70.2,CLIDUR
6007601002,2012-07-25,9:00,"AMMONIUM, TOTAL   UNFIL.REAC",MILLIGRAM PER LITER,0.028,NNHTUR
6007601002,2012-07-25,9:00,"NITRATES TOTAL,   UNFIL.REAC",MILLIGRAM PER LITER,0.565,NNOTUR
6007601002,2012-07-25,9:00,"CALCIUM, UNFILTERED TOTAL",MILLIGRAM PER LITER,60.2,CAUT
6007601002,2012-07-25,9:00,"MAGNESIUM,UNFILTERED TOTAL",MILLIGRAM PER LITER,21.4,MGUT
6007601002,2012-07-25,9:00,"POTASSIUM,UNFILTERED TOTAL",MILLIGRAM PER LITER,1.9,KKUT
6007601002,2012-07-25,9:00,"SODIUM,   UNFILTERED TOTAL",MILLIGRAM PER LITER,40.2,NAUT
6007600302,2012-08-29,10:35,"POTASSIUM,UNFILTERED TOTAL",MILLIGRAM PER LITER,3.01,KKUT
6007600302,2012-08-29,10:35,"MAGNESIUM,UNFILTERED TOTAL",MILLIGRAM PER LITER,20.7,MGUT
6007600302,2012-08-29,10:35,"CALCIUM, UNFILTERED TOTAL",MILLIGRAM PER LITER,66.4,CAUT
6007600302,2012-08-29,10:35,"SODIUM,   UNFILTERED TOTAL",MILLIGRAM PER LITER,60.8,NAUT
6007600302,2012-08-29,10:35,"AMMONIUM, TOTAL   UNFIL.REAC",MILLIGRAM PER LITER,0.017,NNHTUR
6007600302,2012-08-29,10:35,"NITRATES TOTAL,   UNFIL.REAC",MILLIGRAM PER LITER,1.64,NNOTUR
6007600302,2012-08-29,10:35,"CHLORIDE,         UNFIL.REAC",MILLIGRAM PER LITER,95.9,CLIDUR
6007601702,2012-08-29,11:05,"NITRATES TOTAL,   UNFIL.REAC",MILLIGRAM PER LITER,1.51,NNOTUR
6007601702,2012-08-29,11:05,"AMMONIUM, TOTAL   UNFIL.REAC",MILLIGRAM PER LITER,0.019,NNHTUR
6007601702,2012-08-29,11:05,"CHLORIDE,         UNFIL.REAC",MILLIGRAM PER LITER,97.0,CLIDUR
6007601702,2012-08-29,11:05,"MAGNESIUM,UNFILTERED TOTAL",MILLIGRAM PER LITER,20.6,MGUT
6007601702,2012-08-29,11:05,"SODIUM,   UNFILTERED TOTAL",MILLIGRAM PER LITER,63.1,NAUT
6007601702,2012-08-29,11:05,"POTASSIUM,UNFILTERED TOTAL",MILLIGRAM PER LITER,3.09,KKUT
6007601702,2012-08-29,11:05,"CALCIUM, UNFILTERED TOTAL",MILLIGRAM PER LITER,62.2,CAUT
6007605002,2012-08-29,11:25,"MAGNESIUM,UNFILTERED TOTAL",MILLIGRAM PER LITER,20.6,MGUT
6007605002,2012-08-29,11:25,"POTASSIUM,UNFILTERED TOTAL",MILLIGRAM PER LITER,3.96,KKUT
6007605002,2012-08-29,11:25,"SODIUM,   UNFILTERED TOTAL",MILLIGRAM PER LITER,73.1,NAUT
6007605002,2012-08-29,11:25,"CHLORIDE,         UNFIL.REAC",MILLIGRAM PER LITER,106.0,CLIDUR
6007605002,2012-08-29,11:25,"AMMONIUM, TOTAL   UNFIL.REAC",MILLIGRAM PER LITER,0.018,NNHTUR
6007605002,2012-08-29,11:25,"NITRATES TOTAL,   UNFIL.REAC",MILLIGRAM PER LITER,1.7,NNOTUR
6007605002,2012-08-29,11:25,"CALCIUM, UNFILTERED TOTAL",MILLIGRAM PER LITER,60.2,CAUT
6007600602,2012-08-29,7:20,"CHLORIDE,         UNFIL.REAC",MILLIGRAM PER LITER,170.0,CLIDUR
6007600602,2012-08-29,7:20,"AMMONIUM, TOTAL   UNFIL.REAC",MILLIGRAM PER LITER,0.135,NNHTUR
6007600602,2012-08-29,7:20,"NITRATES TOTAL,   UNFIL.REAC",MILLIGRAM PER LITER,0.684,NNOTUR
6007600602,2012-08-29,7:20,"MAGNESIUM,UNFILTERED TOTAL",MILLIGRAM PER LITER,17.7,MGUT
6007600602,2012-08-29,7:20,"POTASSIUM,UNFILTERED TOTAL",MILLIGRAM PER LITER,3.58,KKUT
6007600602,2012-08-29,7:20,"SODIUM,   UNFILTERED TOTAL",MILLIGRAM PER LITER,117.0,NAUT
6007600602,2012-08-29,7:20,"CALCIUM, UNFILTERED TOTAL",MILLIGRAM PER LITER,49.4,CAUT
6007602302,2012-08-29,7:40,"NITRATES TOTAL,   UNFIL.REAC",MILLIGRAM PER LITER,0.825,NNOTUR
6007602302,2012-08-29,7:40,"CHLORIDE,         UNFIL.REAC",MILLIGRAM PER LITER,195.0,CLIDUR
6007602302,2012-08-29,7:40,"AMMONIUM, TOTAL   UNFIL.REAC",MILLIGRAM PER LITER,0.063,NNHTUR
6007602302,2012-08-29,7:40,"CALCIUM, UNFILTERED TOTAL",MILLIGRAM PER LITER,60.6,CAUT
6007602302,2012-08-29,7:40,"MAGNESIUM,UNFILTERED TOTAL",MILLIGRAM PER LITER,19.2,MGUT
6007602302,2012-08-29,7:40,"POTASSIUM,UNFILTERED TOTAL",MILLIGRAM PER LITER,4.21,KKUT
6007602302,2012-08-29,7:40,"SODIUM,   UNFILTERED TOTAL",MILLIGRAM PER LITER,131.0,NAUT
6007601802,2012-08-29,8:15,"SODIUM,   UNFILTERED TOTAL",MILLIGRAM PER LITER,73.0,NAUT
6007601802,2012-08-29,8:15,"POTASSIUM,UNFILTERED TOTAL",MILLIGRAM PER LITER,2.69,KKUT
6007601802,2012-08-29,8:15,"MAGNESIUM,UNFILTERED TOTAL",MILLIGRAM PER LITER,19.2,MGUT
6007601802,2012-08-29,8:15,"CALCIUM, UNFILTERED TOTAL",MILLIGRAM PER LITER,60.0,CAUT
6007601802,2012-08-29,8:15,"NITRATES TOTAL,   UNFIL.REAC",MILLIGRAM PER LITER,0.734,NNOTUR
6007601802,2012-08-29,8:15,"AMMONIUM, TOTAL   UNFIL.REAC",MILLIGRAM PER LITER,0.021,NNHTUR
6007601802,2012-08-29,8:15,"CHLORIDE,         UNFIL.REAC",MILLIGRAM PER LITER,110.0,CLIDUR
6007601002,2012-08-29,8:50,"SODIUM,   UNFILTERED TOTAL",MILLIGRAM PER LITER,41.9,NAUT
6007601002,2012-08-29,8:50,"POTASSIUM,UNFILTERED TOTAL",MILLIGRAM PER LITER,1.94,KKUT
6007601002,2012-08-29,8:50,"MAGNESIUM,UNFILTERED TOTAL",MILLIGRAM PER LITER,18.8,MGUT
6007601002,2012-08-29,8:50,"CALCIUM, UNFILTERED TOTAL",MILLIGRAM PER LITER,61.9,CAUT
6007601002,2012-08-29,8:50,"NITRATES TOTAL,   UNFIL.REAC",MILLIGRAM PER LITER,0.573,NNOTUR
6007601002,2012-08-29,8:50,"AMMONIUM, TOTAL   UNFIL.REAC",MILLIGRAM PER LITER,0.017,NNHTUR
6007601002,2012-08-29,8:50,"CHLORIDE,         UNFIL.REAC",MILLIGRAM PER LITER,70.3,CLIDUR
6007600302,2012-09-26,11:10,"MAGNESIUM,UNFILTERED TOTAL",MILLIGRAM PER LITER,21.9,MGUT
6007600302,2012-09-26,11:10,"POTASSIUM,UNFILTERED TOTAL",MILLIGRAM PER LITER,2.53,KKUT
6007600302,2012-09-26,11:10,"SODIUM,   UNFILTERED TOTAL",MILLIGRAM PER LITER,54.4,NAUT
6007600302,2012-09-26,11:10,"CALCIUM, UNFILTERED TOTAL",MILLIGRAM PER LITER,74.4,CAUT
6007600302,2012-09-26,11:10,"CHLORIDE,         UNFIL.REAC",MILLIGRAM PER LITER,96.2,CLIDUR
6007600302,2012-09-26,11:10,"AMMONIUM, TOTAL   UNFIL.REAC",MILLIGRAM PER LITER,0.016,NNHTUR
6007600302,2012-09-26,11:10,"NITRATES TOTAL,   UNFIL.REAC",MILLIGRAM PER LITER,2.17,NNOTUR
6007601702,2012-09-26,12:00,"CHLORIDE,         UNFIL.REAC",MILLIGRAM PER LITER,94.3,CLIDUR
6007601702,2012-09-26,12:00,"AMMONIUM, TOTAL   UNFIL.REAC",MILLIGRAM PER LITER,0.015,NNHTUR
6007601702,2012-09-26,12:00,"NITRATES TOTAL,   UNFIL.REAC",MILLIGRAM PER LITER,1.77,NNOTUR
6007601702,2012-09-26,12:00,"MAGNESIUM,UNFILTERED TOTAL",MILLIGRAM PER LITER,21.5,MGUT
6007601702,2012-09-26,12:00,"POTASSIUM,UNFILTERED TOTAL",MILLIGRAM PER LITER,2.58,KKUT
6007601702,2012-09-26,12:00,"SODIUM,   UNFILTERED TOTAL",MILLIGRAM PER LITER,53.8,NAUT
6007601702,2012-09-26,12:00,"CALCIUM, UNFILTERED TOTAL",MILLIGRAM PER LITER,71.6,CAUT
6007605002,2012-09-26,12:55,"MAGNESIUM,UNFILTERED TOTAL",MILLIGRAM PER LITER,20.7,MGUT
6007605002,2012-09-26,12:55,"POTASSIUM,UNFILTERED TOTAL",MILLIGRAM PER LITER,3.21,KKUT
6007605002,2012-09-26,12:55,"SODIUM,   UNFILTERED TOTAL",MILLIGRAM PER LITER,64.7,NAUT
6007605002,2012-09-26,12:55,"CHLORIDE,         UNFIL.REAC",MILLIGRAM PER LITER,113.0,CLIDUR
6007605002,2012-09-26,12:55,"AMMONIUM, TOTAL   UNFIL.REAC",MILLIGRAM PER LITER,0.021,NNHTUR
6007605002,2012-09-26,12:55,"NITRATES TOTAL,   UNFIL.REAC",MILLIGRAM PER LITER,1.87,NNOTUR
6007605002,2012-09-26,12:55,"CALCIUM, UNFILTERED TOTAL",MILLIGRAM PER LITER,65.2,CAUT
6007600602,2012-09-26,7:25,"NITRATES TOTAL,   UNFIL.REAC",MILLIGRAM PER LITER,1.33,NNOTUR
6007600602,2012-09-26,7:25,"AMMONIUM, TOTAL   UNFIL.REAC",MILLIGRAM PER LITER,0.057,NNHTUR
6007600602,2012-09-26,7:25,"CHLORIDE,         UNFIL.REAC",MILLIGRAM PER LITER,234.0,CLIDUR
6007600602,2012-09-26,7:25,"SODIUM,   UNFILTERED TOTAL",MILLIGRAM PER LITER,146.0,NAUT
6007600602,2012-09-26,7:25,"POTASSIUM,UNFILTERED TOTAL",MILLIGRAM PER LITER,4.19,KKUT
6007600602,2012-09-26,7:25,"MAGNESIUM,UNFILTERED TOTAL",MILLIGRAM PER LITER,21.4,MGUT
6007600602,2012-09-26,7:25,"CALCIUM, UNFILTERED TOTAL",MILLIGRAM PER LITER,69.3,CAUT
6007602302,2012-09-26,7:45,"MAGNESIUM,UNFILTERED TOTAL",MILLIGRAM PER LITER,22.6,MGUT
6007602302,2012-09-26,7:45,"CALCIUM, UNFILTERED TOTAL",MILLIGRAM PER LITER,75.0,CAUT
6007602302,2012-09-26,7:45,"NITRATES TOTAL,   UNFIL.REAC",MILLIGRAM PER LITER,1.28,NNOTUR
6007602302,2012-09-26,7:45,"AMMONIUM, TOTAL   UNFIL.REAC",MILLIGRAM PER LITER,0.094,NNHTUR
6007602302,2012-09-26,7:45,"CHLORIDE,         UNFIL.REAC",MILLIGRAM PER LITER,231.0,CLIDUR
6007602302,2012-09-26,7:45,"SODIUM,   UNFILTERED TOTAL",MILLIGRAM PER LITER,148.0,NAUT
6007602302,2012-09-26,7:45,"POTASSIUM,UNFILTERED TOTAL",MILLIGRAM PER LITER,4.52,KKUT
6007601802,2012-09-26,8:15,"SODIUM,   UNFILTERED TOTAL",MILLIGRAM PER LITER,56.0,NAUT
6007601802,2012-09-26,8:15,"POTASSIUM,UNFILTERED TOTAL",MILLIGRAM PER LITER,2.14,KKUT
6007601802,2012-09-26,8:15,"MAGNESIUM,UNFILTERED TOTAL",MILLIGRAM PER LITER,20.4,MGUT
6007601802,2012-09-26,8:15,"CALCIUM, UNFILTERED TOTAL",MILLIGRAM PER LITER,67.2,CAUT
6007601802,2012-09-26,8:15,"NITRATES TOTAL,   UNFIL.REAC",MILLIGRAM PER LITER,0.813,NNOTUR
6007601802,2012-09-26,8:15,"AMMONIUM, TOTAL   UNFIL.REAC",MILLIGRAM PER LITER,0.024,NNHTUR
6007601802,2012-09-26,8:15,"CHLORIDE,         UNFIL.REAC",MILLIGRAM PER LITER,104.0,CLIDUR
